r_array, E_R
2.000000000000000111e-01,1.574821347983625941e-01
3.000000000000000444e-01,-6.018037107656872831e-01
4.000000000000000777e-01,-9.141497046270832261e-01
5.000000000000001110e-01,-1.055159794470623247e+00
6.000000000000000888e-01,-1.116286006869539715e+00
7.000000000000001776e-01,-1.136189454065922533e+00
8.000000000000002665e-01,-1.134147666677095767e+00
9.000000000000001332e-01,-1.120560281299988414e+00
1.000000000000000222e+00,-1.101150330232619101e+00
1.100000000000000311e+00,-1.079192944969075807e+00
1.200000000000000400e+00,-1.056740746305257383e+00
1.300000000000000266e+00,-1.035186266434255042e+00
1.400000000000000355e+00,-1.015468249288244973e+00
1.500000000000000444e+00,-9.981493534714103166e-01
1.600000000000000311e+00,-9.834727290331739535e-01
1.700000000000000400e+00,-9.714266884583411255e-01
1.800000000000000488e+00,-9.618169527925808371e-01
1.900000000000000577e+00,-9.543388539987280872e-01
2.000000000000000888e+00,-9.486411121761857412e-01
2.100000000000000533e+00,-9.443746811197426538e-01
2.200000000000001066e+00,-9.412240336932624629e-01
2.300000000000000711e+00,-9.389223859872749545e-01
2.400000000000000799e+00,-9.372549530096293546e-01
2.500000000000000888e+00,-9.360549199556058575e-01
2.600000000000000977e+00,-9.351960308474736028e-01
2.700000000000001066e+00,-9.345844159367682202e-01
2.800000000000001155e+00,-9.341510956709369040e-01
2.900000000000001243e+00,-9.338457507791563250e-01
