r_array, E_R
2.000000000000000111e-01,1.641750120616949360e-01
3.000000000000000444e-01,-5.938277585357274457e-01
4.000000000000000777e-01,-9.043613941635391118e-01
5.000000000000001110e-01,-1.042996274540095136e+00
6.000000000000000888e-01,-1.101128242267701562e+00
7.000000000000001776e-01,-1.117349034990279044e+00
8.000000000000002665e-01,-1.110850397476595308e+00
9.000000000000001332e-01,-1.091914041020057402e+00
1.000000000000000222e+00,-1.066108649317936585e+00
1.100000000000000311e+00,-1.036538875029180407e+00
1.200000000000000400e+00,-1.005106706568489550e+00
1.300000000000000266e+00,-9.731106157775784027e-01
1.400000000000000355e+00,-9.414806547077980703e-01
1.500000000000000444e+00,-9.108735545943866807e-01
1.600000000000000311e+00,-8.817324499460563736e-01
1.700000000000000400e+00,-8.543376269512921173e-01
1.800000000000000488e+00,-8.288481479269773633e-01
1.900000000000000577e+00,-8.053328448932774997e-01
2.000000000000000888e+00,-7.837926542773530070e-01
2.100000000000000533e+00,-7.641776516167968492e-01
2.200000000000001066e+00,-7.464013499911592575e-01
2.300000000000000711e+00,-7.303533213548865088e-01
2.400000000000000799e+00,-7.159100604538065626e-01
2.500000000000000888e+00,-7.029435997235266020e-01
2.600000000000000977e+00,-6.913275611973774826e-01
2.700000000000001066e+00,-6.809407606225889031e-01
2.800000000000001155e+00,-6.716688597517281867e-01
2.900000000000001243e+00,-6.634047415990400598e-01
