r_array, E_R
5.000000000000000000e-01,-7.028410094541921893e+00
7.500000000000000000e-01,-7.556721660246795480e+00
1.000000000000000000e+00,-7.767362135748562046e+00
1.250000000000000000e+00,-7.844905315573969418e+00
1.500000000000000000e+00,-7.863357621535116415e+00
1.750000000000000000e+00,-7.853839601840524764e+00
2.000000000000000000e+00,-7.830905584637074313e+00
2.250000000000000000e+00,-7.801938957048713874e+00
2.500000000000000000e+00,-7.770873669221907143e+00
2.750000000000000000e+00,-7.740000740013317504e+00
3.000000000000000000e+00,-7.710829900217230914e+00
3.250000000000000000e+00,-7.684376423067956097e+00
3.500000000000000000e+00,-7.661201601515119641e+00
3.750000000000000000e+00,-7.641453865325054551e+00
4.000000000000000000e+00,-7.624975630131332061e+00
4.250000000000000000e+00,-7.611431154161037327e+00
4.500000000000000000e+00,-7.600410291509976268e+00
4.750000000000000000e+00,-7.591495806281138847e+00
