r_array, E_R
2.000000000000000111e-01,1.574823118107812892e-01
3.000000000000000444e-01,-6.018036096686475434e-01
4.000000000000000777e-01,-9.141496448646754258e-01
5.000000000000001110e-01,-1.055159760767592880e+00
6.000000000000000888e-01,-1.116285991041215508e+00
7.000000000000001776e-01,-1.136189450832556291e+00
8.000000000000002665e-01,-1.134147672040353383e+00
9.000000000000001332e-01,-1.120560288309571995e+00
1.000000000000000222e+00,-1.101150291756448407e+00
1.100000000000000311e+00,-1.079192570384392091e+00
1.200000000000000400e+00,-1.056738790772554282e+00
1.300000000000000266e+00,-1.035178879338769509e+00
1.400000000000000355e+00,-1.015446485011003430e+00
1.500000000000000444e+00,-9.980971679179758693e-01
1.600000000000000311e+00,-9.833675139828097489e-01
1.700000000000000400e+00,-9.712433006473751851e-01
1.800000000000000488e+00,-9.615338240036508388e-01
1.900000000000000577e+00,-9.539432881813934006e-01
2.000000000000000888e+00,-9.481315475065519305e-01
2.100000000000000533e+00,-9.437596340028475694e-01
2.200000000000001066e+00,-9.405189715659578731e-01
2.300000000000000711e+00,-9.381461250529827822e-01
2.400000000000000799e+00,-9.364266783985484288e-01
2.500000000000000888e+00,-9.351922384925253073e-01
2.600000000000000977e+00,-9.343139888628657630e-01
2.700000000000001066e+00,-9.336952148229669124e-01
2.800000000000001155e+00,-9.332642244512463492e-01
2.900000000000001243e+00,-9.329683208394126126e-01
