r_array, E_R
2.000000000000000111e-01,1.574823190415004792e-01
3.000000000000000444e-01,-6.018035826084356943e-01
4.000000000000000777e-01,-9.141495268774250116e-01
5.000000000000001110e-01,-1.055159632874025366e+00
6.000000000000000888e-01,-1.116285452925688260e+00
7.000000000000001776e-01,-1.136189116826271439e+00
8.000000000000002665e-01,-1.134147068880888787e+00
9.000000000000001332e-01,-1.120559200510894415e+00
1.000000000000000222e+00,-1.101149181659736520e+00
1.100000000000000311e+00,-1.079191579154870295e+00
1.200000000000000400e+00,-1.056739026921651226e+00
1.300000000000000266e+00,-1.035184085585666436e+00
1.400000000000000355e+00,-1.015466321166725638e+00
1.500000000000000444e+00,-9.981470879907821114e-01
1.600000000000000311e+00,-9.834703174141390392e-01
1.700000000000000400e+00,-9.714236966221097003e-01
1.800000000000000488e+00,-9.618137180372188233e-01
1.900000000000000577e+00,-9.543357678831562163e-01
2.000000000000000888e+00,-9.486377491735336065e-01
2.100000000000000533e+00,-9.443713645151181613e-01
2.200000000000001066e+00,-9.412210158670706317e-01
2.300000000000000711e+00,-9.389191066304718447e-01
2.400000000000000799e+00,-9.372515558316769635e-01
2.500000000000000888e+00,-9.360515222182832495e-01
2.600000000000000977e+00,-9.351927178946602970e-01
2.700000000000001066e+00,-9.345812435904701232e-01
2.800000000000001155e+00,-9.341480959884819191e-01
2.900000000000001243e+00,-9.338429383598190192e-01
