r_array, E_R
5.000000000000000000e-01,-7.047502269716611423e+00
7.500000000000000000e-01,-7.574528066261223991e+00
1.000000000000000000e+00,-7.783993572910044456e+00
1.250000000000000000e+00,-7.861580069958263195e+00
1.500000000000000000e+00,-7.882078336936267249e+00
1.750000000000000000e+00,-7.876830112428392816e+00
2.000000000000000000e+00,-7.860591057413135019e+00
2.250000000000000000e+00,-7.841039516981862079e+00
2.500000000000000000e+00,-7.822383421221984712e+00
2.750000000000000000e+00,-7.806920617459240930e+00
3.000000000000000000e+00,-7.795649181706293618e+00
3.250000000000000000e+00,-7.788362090564609375e+00
3.500000000000000000e+00,-7.784136747830949332e+00
3.750000000000000000e+00,-7.779690503918830657e+00
4.000000000000000000e+00,-7.780677952629178051e+00
4.250000000000000000e+00,-7.762805455093010565e+00
4.500000000000000000e+00,-7.752837168482515473e+00
4.750000000000000000e+00,-7.730470171458792450e+00
