r_array, E_R
5.000000000000000000e-01,-7.050225035299888532e+00
7.500000000000000000e-01,-7.575486719855835105e+00
1.000000000000000000e+00,-7.784460280031203716e+00
1.250000000000000000e+00,-7.861861440547594171e+00
1.500000000000000000e+00,-7.882362286798692885e+00
1.750000000000000000e+00,-7.877187002304507857e+00
2.000000000000000000e+00,-7.861087772481415215e+00
2.250000000000000000e+00,-7.841817859457474782e+00
2.500000000000000000e+00,-7.823723883467546436e+00
2.750000000000000000e+00,-7.809162297674556719e+00
3.000000000000000000e+00,-7.798843159502396816e+00
3.250000000000000000e+00,-7.792184472005116547e+00
3.500000000000000000e+00,-7.788115123279006902e+00
3.750000000000000000e+00,-7.785695170102032492e+00
4.000000000000000000e+00,-7.784278178715390517e+00
4.250000000000000000e+00,-7.783458773950354015e+00
4.500000000000000000e+00,-7.782991125443836644e+00
4.750000000000000000e+00,-7.782728185438741342e+00
