r_array, E_R
5.000000000000000000e-01,-7.038422786096253603e+00
7.500000000000000000e-01,-7.560189357113477726e+00
1.000000000000000000e+00,-7.769882488977939872e+00
1.250000000000000000e+00,-7.847103299408448862e+00
1.500000000000000000e+00,-7.865401464119943675e+00
1.750000000000000000e+00,-7.855855429546730662e+00
2.000000000000000000e+00,-7.833087379741900946e+00
2.250000000000000000e+00,-7.804668491596959079e+00
2.500000000000000000e+00,-7.775045821329555018e+00
2.750000000000000000e+00,-7.747922199152233347e+00
3.000000000000000000e+00,-7.727830515380691878e+00
3.250000000000000000e+00,-7.719022793507992475e+00
3.500000000000000000e+00,-7.721935341728802804e+00
3.750000000000000000e+00,-7.471291979473732248e+00
4.000000000000000000e+00,-7.425150900828143108e+00
4.250000000000000000e+00,-7.398709747240340029e+00
4.500000000000000000e+00,-7.382080960326874219e+00
4.750000000000000000e+00,-7.371303019092649400e+00
