r_array, E_R
5.000000000000000000e-01,-7.028966182701745780e+00
7.500000000000000000e-01,-7.556871104304783593e+00
1.000000000000000000e+00,-7.767490456471249693e+00
1.250000000000000000e+00,-7.845056434900374853e+00
1.500000000000000000e+00,-7.863566923870689784e+00
1.750000000000000000e+00,-7.854166450791378651e+00
2.000000000000000000e+00,-7.831464545466776173e+00
2.250000000000000000e+00,-7.802969154741695057e+00
2.500000000000000000e+00,-7.772917618089130620e+00
2.750000000000000000e+00,-7.744351197723059244e+00
3.000000000000000000e+00,-7.720507204665982393e+00
3.250000000000000000e+00,-7.705651933159897382e+00
3.500000000000000000e+00,-7.703796045908740453e+00
3.750000000000000000e+00,-7.327489115122975072e+00
4.000000000000000000e+00,-7.312258610935949754e+00
4.250000000000000000e+00,-7.307036460742777351e+00
4.500000000000000000e+00,-7.304994227392144879e+00
4.750000000000000000e+00,-7.304093488503037079e+00
